,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-04-12,sh.688302,41.0000,42.5900,29.8500,30.1000,42.9200,14595359,482712612.9100,3,64.485200,1,-29.869500
1,2022-04-13,sh.688302,31.2500,43.0000,31.2500,41.3000,30.1000,12943710,457818838.9100,3,57.187900,1,37.209300
2,2022-04-14,sh.688302,38.8300,44.5000,36.3300,37.9200,41.3000,9206086,369819878.9300,3,40.674300,1,-8.184000
3,2022-04-15,sh.688302,36.0600,40.7900,35.6500,37.9300,37.9200,5817135,223433108.2700,3,25.701300,1,0.026400
4,2022-04-18,sh.688302,38.8800,44.0600,37.9300,41.0600,37.9300,6351500,260747734.4400,3,28.062200,1,8.252000
5,2022-04-19,sh.688302,41.5000,44.0000,39.4400,41.3000,41.0600,6058883,253702869.4300,3,26.769400,1,0.584500
6,2022-04-20,sh.688302,40.1800,40.9800,35.4700,35.9100,41.3000,6721273,253121683.4300,3,29.695900,1,-13.050800
7,2022-04-21,sh.688302,35.5100,37.2500,33.9100,34.5000,35.9100,3659604,128963990.2400,3,16.168900,1,-3.926500
8,2022-04-22,sh.688302,33.8400,35.3500,31.5500,31.5700,34.5000,4026419,133770765.1300,3,17.789500,1,-8.492800
9,2022-04-25,sh.688302,30.7300,33.3000,30.1900,30.1900,31.5700,3101943,98502972.8100,3,13.705000,1,-4.371200
10,2022-04-26,sh.688302,30.7000,32.3600,29.9200,30.1900,30.1900,3019472,93572829.3100,3,13.340600,1,0.000000
11,2022-04-27,sh.688302,30.2400,30.9900,28.2300,30.5800,30.1900,2784691,82225938.7200,3,12.303300,1,1.291800
12,2022-04-28,sh.688302,30.0500,30.4500,28.2500,28.7000,30.5800,2215136,64221828.1900,3,9.786900,1,-6.147800
13,2022-04-29,sh.688302,28.6300,30.5000,28.6200,30.1800,28.7000,2064091,61435695.7300,3,9.119600,1,5.156800
14,2022-05-05,sh.688302,31.2000,36.2200,30.0400,33.9700,30.1800,4961755,167702206.1800,3,21.922000,1,12.558000
15,2022-05-06,sh.688302,32.5000,34.3100,30.5000,32.5600,33.9700,3300917,107543494.4300,3,14.584100,1,-4.150700
16,2022-05-09,sh.688302,31.9100,33.5000,31.3300,32.4500,32.5600,1694137,54707765.8600,3,7.485000,1,-0.337800
17,2022-05-10,sh.688302,31.5400,35.6000,31.5400,33.8500,32.4500,2600509,88065107.0900,3,11.489600,1,4.314300
18,2022-05-11,sh.688302,34.2300,36.8000,33.6800,33.7700,33.8500,3443438,121295472.2300,3,15.213800,1,-0.236300
19,2022-05-12,sh.688302,33.1800,35.1000,33.1800,33.6900,33.7700,2164576,73623800.9900,3,9.563500,1,-0.236900
20,2022-05-13,sh.688302,34.1500,38.5000,33.6700,36.2800,33.6900,3661834,132138401.1600,3,16.178700,1,7.687700
21,2022-05-16,sh.688302,37.1500,39.5000,36.0100,36.3500,36.2800,2674745,99880917.3400,3,11.817600,1,0.192900
22,2022-05-17,sh.688302,35.8000,36.3400,34.3900,35.3000,36.3500,2366176,83326216.2600,3,10.454200,1,-2.888600
23,2022-05-18,sh.688302,34.9000,35.7600,34.2400,34.4900,35.3000,1401573,49004920.4000,3,6.192400,1,-2.294600
24,2022-05-19,sh.688302,33.7000,34.8400,33.3900,34.0100,34.4900,1620758,54871372.7700,3,7.160800,1,-1.391700
25,2022-05-20,sh.688302,34.2800,35.5000,33.7600,34.1500,34.0100,1613954,55663341.9600,3,7.130800,1,0.411600
26,2022-05-23,sh.688302,34.1500,34.6500,33.7200,34.0800,34.1500,841049,28609892.1100,3,3.715900,1,-0.205000
27,2022-05-24,sh.688302,33.9000,34.0000,31.2000,31.2200,34.0800,2371816,76775404.9800,3,10.479200,1,-8.392000
